Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1961","1961","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1962","1962","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1963","1963","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1964","1964","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1965","1965","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1966","1966","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1967","1967","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1968","1968","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1969","1969","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1970","1970","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1971","1971","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1972","1972","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1973","1973","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1974","1974","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1975","1975","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1976","1976","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1977","1977","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1978","1978","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1979","1979","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1980","1980","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1981","1981","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1982","1982","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1983","1983","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1984","1984","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1985","1985","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1986","1986","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1987","1987","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1988","1988","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1989","1989","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1990","1990","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1991","1991","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1992","1992","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1993","1993","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1994","1994","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1995","1995","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1996","1996","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1997","1997","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1998","1998","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","1999","1999","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2000","2000","1000 ha","5106","A","Cifra oficial",""
